Hanzi,Meaning,Reading,Color,Mean Word,Sound,Simplified,Traditional,Also Written,Ruby,Silhouette,
车道,lane (of traffic)<br>driveway,chēdào,车道,,,,,,,,
具,"tool, instrument<br>to possess, to have",jù,具,,,,,,,,
张,"to open up, to spread<br>sheet",zhāng,张,,,,,,,,
亮,"bright, clear<br>resonant<br>to shine, to show",liàng,亮,,,,,,,,
容,"to hold, to contain<br>to allow, to tolerate",róng,容,,,,,,,,
欲,desire<br>appetite,yu4,欲,,,,,,,,
著,"to make known, to show forth",zhù,著,,,,,,,,
盗,"to steal, to plunder<br>thief",dào,盗,,,,,,,,
愈,to recover<br>to heal,yù,愈,,,,,,,,
喊,"to shout, to call out",hǎn,喊,,,,,,,,
音,sound<br>noise,yīn,音,,,,,,,,
励,to encourage<br>to urge,lì,励,,,,,,,,
雪,snow,xuě,雪,,,,,,,,
环,"ring, hoop<br>to encircle, to hem in",huán,环,,,,,,,,
好,good<br>very,hǎo,好,,,,,,,,
忍,"to bear, to endure<br>to restrain oneself",rěn,忍,,,,,,,,
和,"union, peace, harmony<br>together",hé,和,,,,,,,,
力,"power, force<br>ability, strength",lì,力,,,,,,,,
南,south,nán,南,,,,,,,,
惰,lazy,duò,惰,,,,,,,,
紧,"strict, tight",jǐn,紧,,,,,,,,
货,"goods, commodity<br>money",huò,货,,,,,,,,
合,"to join, to fit<br>whole, together",hé,合,,,,,,,,
意,"idea, meaning, thought<br>wish, desire, intention<br>expect, anticipate",yì,意,,,,,,,,
婉约,"reserved, graceful and subdued (style)",wǎnyuē,婉约,,,,,,,,
停顿,a pause (in speak),tíngdùn,停顿,,,,,,,,
它被剪切掉了,"it was cut (from a movie, etc.)",tā bèi jiǎn qiè diàole,它被剪切掉了,,,,,,,,
粘人,clingy (of a person),niánrén,粘人,,,,,,,,
因人而异,varies from person to person (idiom),yīn rén ér yì,因人而异,,,,,,,_ _ _ _,
气质,"temperament, personality traits (w/ q)",qìzhì,气质,,,,,,,,
豪爽,outspoken and straightforward (not 直白）<br>forthright,háoshuǎng,豪爽,,,,,,,,
糙,"crass<br>rough, coarse (texture)",cāo,糙,,,,,,,,
可悲,"sad, lamentable",kěbēi,可悲,,,,,,,,
创伤,trauma (physical or mental),chuāngshāng,创伤,,,,,,,,
双标,double standard,shuāngbiāo,双标,,,,,,,_ _,
双重,double,shuāngchóng,双重,,,,,,,_ _,
人品,(moral/personal) character,rénpǐn,人品,,,,,,,,
让人怀疑的,suspicious,ràng rén huáiyí de,让人怀疑的,,,,,,,_ _ _ _的,
挺身而出,to step forward bravely<br>to stand up<br>to come forward,tǐngshēn ér chū,挺身而出,,,,,,,_ _ _ _,
小混混,hooligan<br>rogue,xiǎo hùnhùn,小混混,,,,,,,,
刻意,"deliberately, meticulously (w/ k)",kèyì,刻意,,,,,,,,
阴影,shadow (lit. and fig.),yīnyǐng,阴影,,,,,,,,
无视,to ignore<br>to disregard,wúshì,无视,,,,,,,,
书呆子,"nerd, bookworm",shū dāizi,书呆子,,,,,,,,
防备心,"""(one's) guard""",fángbèi xīn,防备心,,,,,,,,
职场,workplace<br>jobmarket,zhíchǎng,职场,,,,,,,_ _,
珍惜,to cherish<br>to treasure,zhēnxī,珍惜,,,,,,,,
困扰,to bother (w/ k)<br>to trouble<br>to disturb,kùnrǎo,困扰,,,,,,,,
扰,to disturb<br>to bother,rǎo,扰,,,,,,,,
困,"to trap, to surround",kùn,困,,,,,,,,
惜,to cherish,xī,惜,,,,,,,,
场,large place/field used for specific purpose<br>stage<br>measure word for recreational activities,chǎng,场,,,,,,,,
职,office<br>duty,zhí,职,,,,,,,,
心,heart,xīn,心,,,,,,,,
防,"to guard against, to prevent<br>to protect/defend",fáng,防,,,,,,,,
备,to prepare<br>to get ready,bèi,备,,,,,,,,
书,"book, document",shū,书,,,,,,,,
呆,"foolish, stupid<br>expressionless, blank",dāi,呆,,,,,,,,
无,not<br>none<br>lacking,wú,无,,,,,,,,
视,to look at<br>to inspect,shì,视,,,,,,,,
阴,"overcast, cloudy, shady<br>Yin, feminine, negative, moon",yīn,阴,,,,,,,,
影,shadow<br>reflection<br>trace,yǐng,影,,,,,,,,
刻,"quarter (of hour)<br>a moment in time<br>to carve, to engrave",kè,刻,,,,,,,,
混,"to mix, to mingle, to muddle<br>thoughtless, to muddle along",hùn,混,,,,,,,,
挺,straight<br>erect,tǐng,挺,,,,,,,,
身,body,shēn,身,,,,,,,,
变速器,transmission (of a vehicle),biànsù qì,变速器,,,,,,,_ _ _,
中大奖,to win the lottery,zhōng dàjiǎng,中大奖,,,,,,,,
底部,the bottom (of something),dǐbù,底部,,,,,,,_ _,
沉寂,"silence, stillness (not 沉默 which is of a person)",chénjì,沉寂,,,,,,,,
日复一日,day after day,rì fù yīrì,日复一日,,,,,,,,
跑偏,to deviate<br>to go off track<br>to go sideways (figuratively),pǎo piān,跑偏,,,,,,,,
住客,hotel guest<br>tennant,zhùkè,住客,,,,,,,,
松鼠,squirrel,sōngshǔ,松鼠,,,,,,,,
好使,easy to use<br>to work well,hǎoshǐ,好使,,,,,,,,
房贷,mortgage,fángdài,房贷,,,,,,,,
店面,a shop front<br>storefront,diànmiàn,店面,,,,,,,,
丢硬币,to toss a coin,diū yìngbì,丢硬币,,,,,,,,
反驳,to retort<br>to refute,fǎnbó,反驳,,,,,,,,
迷茫,bewildered<br>perplexed<br>at a loss,mímáng,迷茫,,,,,,,,
阵营,camp (as in place or group of people),zhènyíng,阵营,,,,,,,,
客栈,tavern<br>guest house<br>inn,kèzhàn,客栈,,,,,,,,
度假屋,vacation home,dùjiàwū,度假屋,,,,,,,,
秘书长,secretary (of a government department)<br>secretary general,mìshū zhǎng,秘书长,,,,,,,,
皮匠,cobbler,píjiàng,皮匠,,,,,,,_ _,
智慧,wisdom,zhìhuì,智慧,,,,,,,,
发愁,to worry (w/ f),fāchóu,发愁,,,,,,,,
夸,"to praise, to boast",kuā,夸,,,,,,,_,
诸葛亮,Zhuge Liang,Zhūgé Liàng,诸葛亮,,,,,,,,
可喜,gratifying,kěxǐ,可喜,,,,,,,,
溺爱,"to spoil, to pamper, to dote on","""nì'ài""",溺爱,,,,,,,,
相处,"to be in contact (w/ somebody)<br>to associate, to interact<br>to get along (well, poorly)",xiāngchǔ,相处,,,,,,,,
才华,talent,cáihuá,才华,,,,,,,,
大臣,minister (in government),dàchén,大臣,,,,,,,,
仗,"war, battle",zhàng,仗,,,,,,,_,
巧妙,clever,qiǎomiào,巧妙,,,,,,,,
口才,eloquence,kǒucái,口才,,,,,,,,
高原反应,altitude sickness,gāoyuán fǎnyìng,高原反应,,,,,,,,
客栈的老板,innkeeper,kèzhàn de lǎobǎn,客栈的老板,,,,,,,,
调整,to adjust<br>adjustment,tiáozhěng,调整,,,,,,,,
上相,photogenic,shàngxiàng,上相,,,,,,,,
生儿育女,to raise children,shēng ér yù nǚ,生儿育女,,,,,,,_ _ _ _,
副作用,side effect,fùzuòyòng,副作用,,,,,,,,
仅仅因为这件事本身,"""for it's own sake""",jǐnjǐn yīnwèi zhè jiàn shì běnshēn,仅仅因为这件事本身,,,,,,,,
在日常生活中,in everyday life...,zài rìcháng shēnghuó zhōng,在日常生活中,,,,,,,,
亲朋好友,friends and family,qīnpéng hǎoyǒu,亲朋好友,,,,,,,_ _ _ _,
积极方面,the bright side<br>positive aspects,jījí fāngmiàn,积极方面,,,,,,,,
编辑,"to edit, editor",biānjí,编辑,,,,,,,,
无法意料,unexpected,wúfǎ yìliào,无法意料,,,,,,,,
法,"law, method, way",fǎ,法,,,,,,,,
极,"extreme, utmost, top<br>pole (science)",jí,极,,,,,,,,
冷,cold,lěng,冷,,,,,,,,
朋,friend,péng,朋,,,,,,,,
慢,slow,màn,慢,,,,,,,,
事,"matter, thing, item, affair",shì,事,,,,,,,,
用,to use,yòng,用,,,,,,,,
育,to raise or bring up<br>to educate<br>to have children,yù,育,,,,,,,,
随,"to follow, to comply with<br>to allow",suí,随,,,,,,,,
述,"to state, to tell, to relate",shù,述,,,,,,,,
馆,term for certain service establishments<br>building<br>shop,馆,馆,,,,,,,,
调 (w/ t),"to harmonize, to reconcile<br>to adjust, to reculate",tiáo,调,,,,,,,,
相,portrait<br>picture<br>appearance,xiàng,相,,,,,,,,
交,"to hand over, to deliver<br>to intersect<br>to make friends",jiāo,交,,,,,,,,
委,"to entrust<br>winding, roundabout, to shift (blame)",wěi,委,,,,,,,,
腹,abdomen<br>belly,fù,腹,,,,,,,,
贷,"to borrow, to lend",dài,贷,,,,,,,,
无,not<br>non<br>-un<br>-less,wú,无,,,,,,,,
而,"and, as well as<br>but, yet",ér,而,,,,,,,,
异,"different, hetero-, other<br>unusual, strange<br>to distinguish, to discriminate",yì,异,,,,,,,,
松,"loose, relaxed<br>pine (tree)",sōng,松,,,,,,,,
复,"to go and return, to return to original state<br>to repeat",fù,复,,,,,,,,
志,"aspiration, ambition<br>will",zhì,志,,,,,,,,
偏,"to lean, to slant<br>to stray from intended line<br>oblique",piān,偏,,,,,,,,
民兵,militia<br>militiaman,mínbīng,民兵,,,,,,,,
预备,to prepare (w/ y)<br>to make ready<br>preparation,yùbèi,预备,,,,,,,,
宪法,constitution (legal),xiànfǎ,宪法,,,,,,,,
上膛,to load (a gun),shàngtáng,上膛,,,,,,,,
上膛的枪,a loaded gun,shàngtáng de qiāng,上膛的枪,,,,,,,,
民众,the people (w/ m)<br>the masses,mínzhòng,民众,,,,,,,,
荒谬,absurd (not 荒唐),huāngmiù,荒谬,,,,,,,,
枪击案,a shooting,qiāngjī àn,枪击案,,,,,,,,
让人印象深刻,impressive,ràng rén yìnxiàng shēnkè,让人印象深刻,,,,,,,_ _ _ _ _ _,
在州的层面,at the state level,zài zhōu de céngmiàn,在州的层面,,,,,,,,
方案,plan (w/ f)<br>proposal,"""fāng'àn""",方案,,,,,,,,
指环王,The Lord of the Rings,Zhǐhuán Wáng,指环王,,,,,,,,
大的提升,a big boost,dà de tíshēng,大的提升,,,,,,,_ 的_ _,
智能,(an) intelligence<br>smart (tech)<br>intelligent,zhìnéng,智能,,,,,,,,
胡说,nonsense<br>poppycock,húshuō,胡说,,,,,,,,
撒网,"""to cast one's net""",sāwǎng,撒网,,,,,,,,
消失不见,to ghost (someone),xiāoshī bùjiàn,消失不见,,,,,,,,
悲观,pessimistic,bēiguān,悲观,,,,,,,,
乐观,optimistic,lèguān,乐观,,,,,,,,
除非,unless,chúfēi,除非,,,,,,,,
。。。什么的,...or something,...shénme de,。。。什么的,,,,,,,,
心意,"""one's heart/mind<br>feelings""",xīnyì,心意,,,,,,,,
变了心意,"""to have a change of heart<br>to change one's mind""",biànle xīnyì,变了心意,,,,,,,_ _ _ _,
坎坷,bumpy (of a road)<br>rough/rocky (of a situation),kǎnkě,坎坷,,,,,,,,
人设,"""(one's public) persona""",rén shè,人设,,,,,,,,
咨询师,consultant,zīxún shī,咨询师,,,,,,,,
修假,to take vacation (not 度假),xiū jià,修假,,,,,,,,
修带薪假,to take PTO,xiū dài xīn jià,修带薪假,,,,,,,,
带薪假,PTO,dài xīn jià,带薪假,,,,,,,,
时代广场,Times Square,shídài guǎngchǎng,时代广场,,,,,,,,
倒数,a countdown<br>reciprocal,dàoshǔ,倒数,,,,,,,,
倒 (4th tone),backward<br>reversed<br>upside down,dào,倒 (4th tone),,,,,,,,
倒 (3rd tone),<div>to fall (which dao?)<br>to collapse</div>,dǎo,倒 (3rd tone),,,,,,,,
倒车,to back up (a car),dàochē,倒车,,,,,,,,
翻车,to flip over a car,fānchē,翻车,,,,,,,_ _,
喝倒彩,to boo,hèdàocǎi,喝倒彩,,,,,,,,
倒彩,boos and jeers,dàocǎi,倒彩,,,,,,,,
敞篷车,convertible (car),chǎng péngchē,敞篷车,,,,,,,,
海市蜃楼,a mirage,hǎishì shèn lóu,海市蜃楼,,,,,,,_ _ _ _,
心平气和,tranquil and even tempered,xīnpíngqìhé,心平气和,,,,,,,_ _ _ _,
我们大吵了一架,we had a big fight,wǒmen dà chǎole yī jià,我们大吵了一架,,,,,,,,
莫名,"inexplicable, exceeding strange<br>indescribable, ineffable",mòmíng,莫名,,,,,,,_ _,
发起火来,to get in a rage<br>to rouse,fāqǐ huǒ lái,发起火来,,,,,,,_ 起 _ _,
发火,to get angry (w/ fa),fāhuǒ,发火,,,,,,,,
深色的眼睛,dark eyes,shēn sè de yǎnjīng,深色的眼睛,,,,,,,,
胜仗,"a victory, a victorious battle",shèngzhàng,胜仗,,,,,,,,
传说故事,a legend,chuánshuō gùshì,传说故事,,,,,,,_ _ _ _,
尊敬,"to respect, to revere",zūnjìng,尊敬,,,,,,,,
总理,prime minister (w/ z),zǒnglǐ,总理,,,,,,,,
相当于,is equivalent to...,xiāngdāng yú,相当于,,,,,,,,
加起来,to add up,jiā qǐlái,加起来,,,,,,,,
等着瞧,wait and see,děngzhe qiáo,等着瞧,,,,,,,,
命题,proposition (logic),mìngtí,命题,,,,,,,,
没戏,"""(coll.) not a chance, no way<br>it's over""",méixì,没戏,,,,,,,_ _,
骚动,commotion<br>disturbance<br>uproar<br>to become restless,sāodòng,骚动,,,,,,,,
拥抱,to embrace<br>to hug,yōngbào,拥抱,,,,,,,_ _,
非黑即白,black-and-white<br>clear cut,fēi hēi jí bái,非黑即白,,,,,,,,
荷尔蒙,horomone,hé ěr méng,荷尔蒙,,,,,,,,
费洛蒙,pheromone,fèi luò méng,费洛蒙,,,,,,,,
威胁,to threaten<br>to menace,wēixié,威胁,,,,,,,,
现阶段,at the present stage,xiàn jiēduàn,现阶段,,,,,,,,
顺其自然,to let nature take its course,shùn qí zìrán,顺其自然,,,,,,,_ _ _ _,
保鲜期,shelf-life,bǎoxiān qī,保鲜期,,,,,,,,
保鲜,to keep fresh,bǎoxiān,保鲜,,,,,,,,
迷恋,to be infatuated with (not 痴迷)<br>infatuation<br>fetish,míliàn,迷恋,,,,,,,,
有毒的,toxic,yǒudú de,有毒的,,,,,,,,
逼,"to force, to compe",bī,逼,,,,,,,_,
相亲,blind date<br>arranged interview to evaluate proposed marriage partner,xiāngqīn,相亲,,,,,,,,
前半部分,the first half,qiánbàn bùfèn,前半部分,,,,,,,,
后半部分,the second half,hòu bàn bùfèn,后半部分,,,,,,,,
闭口不谈,to refuse to say anything about anything<br>to remain tight-lipped,bì kǒu bù tán,闭口不谈,,,,,,,_ _ _ _,
行程,journey/course of a journey (w/ x)<br>trajectory/route,xíngchéng,行程,,,,,,,,
典型,"typical, representative<br>the model/typical case",diǎnxíng,典型,,,,,,,,
wényì fùxīng,the Renaissance,wényì fùxīng,文艺复兴<br>,,,,,,,,
复兴,"to revive, to rejuvenate",fùxīng,复兴,,,,,,,,
宗教觉醒,a religious awakening,zōngjiào juéxǐng,宗教觉醒,,,,,,,,
觉醒,to awaken (to the truth)<br>to come to realize<br>to have the scales fall from ones eyes,juéxǐng,觉醒,,,,,,,,
最后几次,the last few times,zuìhòu jǐ cì,最后几次,,,,,,,,
前几次,the first few times,qián jǐ cì,前几次,,,,,,,,
取向,orientation<br>direction,qǔxiàng,取向,,,,,,,,
性取向,sexual orientation,xìng qǔxiàng,性取向,,,,,,,,
占。。。的便宜,to take advantage of (someone),zhàn... de piányí,占。。。的便宜,,,,,,,,
门路,"gateway, way forward, front door (especially involving social connections)",ménlù,门路,,,,,,,,
淹死,to drown (not 溺水),yān sǐ,淹死,,,,,,,,
柏拉图,Plato,bó lā tú,柏拉图,,,,,,,,
声称,"to declare, to assert (something is true)",shēngchēng,声称,,,,,,,,
脆弱,"vulnerable, fragile, frail",cuìruò,脆弱,,,,,,,,
踏,to tread<br>to stamp<br>to step on,tà,踏,,,,,,,,
脆,brittle<br>fragile<br>crisp,cuì,脆,,,,,,,,
弱,weak<br>feeble,ruò,弱,,,,,,,,
图,diagram<br>picture<br>drawing<br>map,tú,图,,,,,,,,
拉,to pull<br>to drag/draw,lā,拉,,,,,,,,
淹,to flood<br>to submerge,yān,淹,,,,,,,,
向,towards<br>to face,xiàng,向,,,,,,,,
取,to fetch<br>to take,qǔ,取,,,,,,,,
型,"mold, type<br>model",xíng,型,,,,,,,,
典,"canon, law, standard work",diǎn,典,,,,,,,,
程,"rule, order, formula",chéng,程,,,,,,,,
交往,to date (w/ j)<br>to associate with<br>association/contact,jiāowǎng,交往,,,,,,,_ _,
充气,to inflate,chōngqì,充气,,,,,,,,
人体模特,mannequin,réntǐ mótè,人体模特,,,,,,,,
食人者,cannibal<br>man-eater,shírén zhě,食人者,,,,,,,,
冷漠,"cold, detatched, indifferent",lěngmò,冷漠,,,,,,,,
稻草人,scarecrow,dàocǎo rén,稻草人,,,,,,,,
稻草,(rice) straw,dàocǎo,稻草,,,,,,,,
草帽,straw hat,cǎomào,草帽,,,,,,,,
谷仓,barn,gǔ cāng,谷仓,,,,,,,,
小溪,"creek, rivulet",xiǎo xī,小溪,,,,,,,,
牧场,pasture,mùchǎng,牧场,,,,,,,,
小丘,hill,xiǎo qiū,小丘,,,,,,,,
没察觉,to not notice,méi chájué,没察觉,,,,,,,,
察觉,"to sense, to perceive, to notice/become aware of (w/ ch)",chájué,察觉,,,,,,,,
山脉,mountain range,shānmài,山脉,,,,,,,,
暖男,"a warm man (family oriented, considerate and protective)",nuǎnnán,暖男,,,,,,,,
脉搏,pulse (medical and figurative),màibó,脉搏,,,,,,,,
木桩,wooden stake<br>wood pile,mùzhuāng,木桩,,,,,,,,
矿物质,mineral (esp. dietary),kuàngwù zhì,矿物质,,,,,,,_ _ _,
苔藓,moss,táixiǎn,苔藓,,,,,,,,
石化,to petrify,shíhuà,石化,,,,,,,,
谋士,a schemer<br>a skilled manipulator,móushì,谋士,,,,,,,,
钩,"a hook, to hook, to sew",gōu,钩,,,,,,,,
鱼钩,fish hook,yú gōu,鱼钩,,,,,,,,
鱼竿,fishing pole<br>fishing rod,yú gān,鱼竿,,,,,,,,
竿,pole,gān,竿,,,,,,,_,
橡果,acorn,xiàng guǒ,橡果,,,,,,,,
松塔,pine cone,sōng tǎ,松塔,,,,,,,,
橡树,oak,xiàngshù,橡树,,,,,,,,
柳树,willow,liǔshù,柳树,,,,,,,,
桦树,birch,huà shù,桦树,,,,,,,,
皱,"to wrinkle, to crease<br>to knit",zhòu,皱,,,,,,,,
钻 (noun),"diamond<br>a drill, an auger",zuàn,钻,,,,,,,,
钻 (v.),"to drill, to bore",zuān,钻,,,,,,,,
没,not<br>negative prefix for verbs,méi,没,,,,,,,,
戏,trick<br>drama/play/show,xì,戏,,,,,,,,
觉 (2nd tone),"to feel, to think, aware",jué,觉,,,,,,,,
察,"to examine, to inspect, to inquire",chá,察,,,,,,,,
兴 (1st tone),"to rise, to flourish",xīng,兴,,,,,,,,
兴 (4th tone),interest in something<br>excitement,xìng,兴,,,,,,,,
屋,"room, house",wū,屋,,,,,,,,
数 (3rd tone),to count<br>to count as,shǔ,数,,,,,,,,
数(4th tone),"number, figure",数,数,,,,,,,,
桩,stake<br>pile,zhuāng,桩,,,,,,,,
丰,"abundant, plentiful<br>plump, fertile",fēng,丰,,,,,,,,
扇(noun),fan<br>measure word for doors/windows,shàn,扇,,,,,,,,
扇(v.),to fan<br>to slap somebody in the face,shān,扇,,,,,,,,
窦道,sinus (anatomy),dòudào,窦道,,,,,,,_ _,
派系,"sect, faction",pàixì,派系,,,,,,,,
繁殖能力,fertility,fánzhí nénglì,繁殖能力,,,,,,,,
繁殖,to breed<br>to reproduce<br>to propagate,fánzhí,繁殖,,,,,,,,
隐含意义,connotation (of a word)<br>implied meaning,yǐn hán yìyì,隐含意义,,,,,,,,
隐含,"concealed, implicit<br>to keep covered up",yǐnhán,隐含,,,,,,,,
中立的,neutral<br>neutrality,zhōnglì de,中立的,,,,,,,,
褒义的,positive (connotation),bāoyì de,褒义的,,,,,,,,
贬义的,negative (connotation),biǎnyì de,贬义的,,,,,,,,
中立词,neutral word,zhōnglì cí,中立词,,,,,,,,
褒义词,positive word,bāoyì cí,褒义词,,,,,,,,
贬义词,negative (deragatory) word,biǎnyì cí,贬义词,,,,,,,,
牛顿,Newton,Niúdùn,牛顿,,,,,,,,
粒子,particle (physics),lìzǐ,粒子,,,,,,,,
经典力学,classical mechanics,jīngdiǎn lìxué,经典力学,,,,,,,,
地球曲率,the curvature of the Earth,dìqiú qūlǜ,地球曲率,,,,,,,,
流程,process (synonym of程序),liúchéng,流程,,,,,,,,
玄学,"meta-physics (translation)<br>specificaly, an amalgamation of Daoist and Confucian schools of thought",xuánxué,玄学,,,,,,,,
力学,mechanics (study of),lìxué,力学,,,,,,,,
霍金,Hawking (scientist),huòjīn,霍金,,,,,,,,
辐射,to radiate (not emit - 发射),fúshè,辐射,,,,,,,,
曲线,curve (n. in mathematics),qūxiàn,曲线,,,,,,,,
线,"thread, wire, line",xiàn,线,,,,,,,,
曲,"bent, crooked, wrong",qū,曲,,,,,,,,
射,"to shoot, to launch",shè,射,,,,,,,,
辐,the spoke of a wheel,fú,辐,,,,,,,,
器,device/tool (small contraption),qì,器,,,,,,,,
机,"machine, engine (large/complicated machine)",jī,机,,,,,,,,
佣 (4th tone),commission/fee,yòng,佣,,,,,,,,
佣 (1st tone),"to hire, to employ",yōng,佣,,,,,,,,
裹,"to bind, to wrap, to bundle<br>a parcel",guǒ,裹,,,,,,,,
洁,"clean, neat, tidy",jié,洁,,,,,,,,
系,system<br>department/faculty,xì,系,,,,,,,,
繁,"complicated<br>many, in great numbers",fán,繁,,,,,,,,
隐,concealed,yǐn,隐,,,,,,,,
粒,grain/granule,lì,粒,,,,,,,,
眼影,eye shadow,yǎnyǐng,眼影,,,,,,,,
面霜,cream (for face),miànshuāng,面霜,,,,,,,,
须后水,aftershave,xū hòu shuǐ,须后水,,,,,,,,
香皂,soap (scented stuff in stores),xiāngzào,香皂,,,,,,,,
抹布,wash cloth/rag,mābù,抹布,,,,,,,,
储藏室,storage room,chǔcángshì,储藏室,,,,,,,,
衣架,clothes hanger,yījià,衣架,,,,,,,,
陶瓷,Ceramics,táocí,陶瓷,,,,,,,,
瓷砖,tile,cízhuān,瓷砖,,,,,,,,
洗手池,sink (n.),xǐshǒu chí,洗手池,,,,,,,,
门把手,door knob/handle,mén bǎshǒu,门把手,,,,,,,,
拧开,to twist open (a door handle),níng kāi,拧开,,,,,,,,
浴帘,shower curtain,yù lián,浴帘,,,,,,,,
难忘,unforgettable,nánwàng,难忘,,,,,,,,
水库,reservoir (of water),shuǐkù,水库,,,,,,,,
鹅,goose,é,鹅,,,,,,,,
沉,to sink<br>heavy,chén,沉,,,,,,,,
喘,to gasp<br>to pant,chuǎn,喘,,,,,,,,
轻易,easily...<br>lightly/rashly,qīngyì,轻易,,,,,,,,
亲身,personally... (not 本身),qīnshēn,亲身,,,,,,,,
抽空,to take the time<br>to find the time,chōukòng,抽空,,,,,,,,
从容,to take it easy<br>to go easy<br>unhurried/calm,cóngróng,从容,,,,,,,,
镇静,"calm, cool (w/ zh)",zhènjìng,镇静,,,,,,,,
启发,"to inspire, to stimulate, to motivate<br>inspiration, motivation",qǐfā,启发,,,,,,,,
感悟,to come to realize (feelings - w/ g not 感觉)<br>to appreciate<br>realization,gǎnwù,感悟,,,,,,,,
赶,"to drive (cattle, etc.)",gǎn,赶,,,,,,,,
为难,to feel embarassed or awkward<br>to find things difficult/awkward,wéinán,为难,,,,,,,,
老年痴呆症,"""Alzheimer's disease""",lǎoniánchīdāi zhèng,老年痴呆症,,,,,,,,
痴呆,dementia<br>imbecility,chīdāi,痴呆,,,,,,,,
痴,stupid<br>foolish<br>imbecile,chī,痴,,,,,,,,
感,"to feel<br>to move, to touch, to affect",gǎn,感,,,,,,,,
启,"to start, to initiate<br>to open",qǐ,启,,,,,,,,
静,"still<br>quiet, calm",jìng,静,,,,,,,,
轻,light<br>easy<br>gentle,qīng,轻,,,,,,,,
库,storehouse<br>warehouse,kù,库,,,,,,,,
忘,"to forget, to overlook",wàng,忘,,,,,,,,
合法化,to legalize<br>legalization,合法化,合法化,,,,,,,,
拐,"to kidnap, to abduct<br>to swindle<br>to turn (a corner etc.)",guǎi,拐,,,,,,,,
大麻,marijuana,dàmá,大麻,,,,,,,,
民主国家,a Democracy<br>a democratic country,民主国家,民主国家,,,,,,,,
统一,to unify<br>to unite,tǒngyī,统一,,,,,,,,
停火,ceasefire<br>to cease fire,tínghuǒ,停火,,,,,,,,
休战,truce<br>armistice,xiūzhàn,休战,,,,,,,,
撤退,to retreat,chètuì,撤退,,,,,,,,
损毁,"to destroy, to ruin<br>to cause damage",sǔnhuǐ,损毁,,,,,,,,
卑微,"lowly, humble",bēiwēi,卑微,,,,,,,,
微,"tiny, miniature",wēi,微,,,,,,,,
毁,to destroy<br>to ruin<br>to damage,huǐ,毁,,,,,,,,
