Hanzi,Meaning
星际迷航,Star Trek
星际,interstellar/interplanetary
数,to count (numbers)
我跟他相处不来,I don't/can't get along with him
终身教职,tenure (academic)
加快脚步,to pick up the pace
主修,to major in...<div>major (n.)</div>
热忱,enthusiasm (not 热情)<div>zeal</div>
好心,kindness
攀爬,to climb (no object)
下来,to come down
上来,to come up
上去,to go up
下去,to go down
沉默,silence
单身,single (of a person)
成家,to get married (w/ ch)
身材,figure (human body)
范围,scope (w/ f)
静下来,to calm down
公平,fair
技能,skill (n.)
体面,decent (adj.)<div>ok</div>
稳重,steady<div>earnest</div>
线路,route
种农田,to farm
暴风雨,rainstorm
右边第三,third from the right
左边第四,fourth from the left
行,row (in data tables)
列,column (in data tables)
第一批,the first batch
评分,<div>score (of a students work)</div>grade
亏钱,to lose money
赶得上,to be able to catch up
赶不上,unable to catch up
无价的,priceless
不是说。。。而是说。。。,It's not that... but rather...
视野,vision/horizons (w/ s)
物价,price (of a thing)
青岛市,Qingdao
1.8升,1.8 liters
大米,rice
圣女果,cherry tomatoes
1000克,1000 grams
6块9毛钱,6 dollars 90 cents
红薯,sweet potatoes
五花肉,pork belly
容量,capacity
脆,brittle<br>fragile<br>crisp
枣子,"dates, jujube"
运气,luck (n.)
一粒沙子,a grain of sand
柔和,soft (in definition)
分明,distinct/clearly defined (w/ f)
通过测试,to pass the test
秘书,secretary
泰坦尼克号,the Titanic
肚脐,belly button
雀斑,freckle
生锈,to rust
铁锈,rust (n.)
脂肪,"fat (in the body, in food)"
吐,to throw up<div>to vomit</div>
两艘船,two ships
游泳池,swimming pool
闭上眼睛,to close your eyes
眨眼,to blink
突出,to protrude<div>to stand out</div>
大萧条,the great depression
清空,<div>to empty (w/ q)</div><div>to clear<br></div><div>empty</div>
切开,to cut open
后院,backyard
床垫,matress
类似的事情,similar things
随性,casual
有效率,effective
只有。。。才。。,Only if...
绝对是,<div>absolutely</div><div>definitely</div><div>exactly</div>
事物,thing (w/ sh)<div>object</div>
几乎每天,almost every day
次数,number of times
开学第一天,the first day of school
遵守,<div>to abide by<br><div>to respect</div></div><div>to obey</div>
纪律,discipline
寄宿学校,boarding school
咖啡因,caffeine
癫痫病,epilepsy
起落架,landing gear
高度,altitude<div>elevation</div>
发作,to have an attack (something medical)<div>to act up</div>
犯晕,to have a dizzy attack<div>to be stunned</div>
跟这个差不多的,similar to this
个别,"specific, individual (w/ g)"
有的个别的地方。。,some specific places...
犯傻,to space out<div>to have a stupid attack</div>
犯法,to break the law
触犯,"to violate (a law, a taboo)<div>to offend</div>"
继承人,heir/successor
说唱,rap
说唱歌手,rapper
帝国,empire
评为,to elect as<div>to choose as</div>
雄伟,"majestic, magnificent"
头皮,scalp
博士生导师,PhD advisor
共识,consensus<br>a common understanding
一转眼...,in the blink of an eye
圣灵,the Holy Spirit
以。。。之名,in the name of...
见解,opinion (w/ j)
讲道,to preach (w/ j)<div>the sermon</div>
布道,to preach (w/ b)<div>sermon</div><div>to evangelize</div>
浸礼,baptism (w/ j)<div>to baptise</div>
洗礼,baptism (w/ x)<div>to baptise</div>
条理,"system, order, arrangement"
有条理,systematic<div>organized</div><div>having method</div>
发型,hairstyle
奥秘,mystery (n.)
受教,to be taught
假装出来的,phony<div>pretended</div>
高山,mountain (w/ g)
领受,to receive (w/ l)<div>to accept</div>
口红,lipstick
深红色,dark red
淡红色,light red
宁愿。。。,would rather...
脸红,to blush
真实的我,the real me
跟他讲真实,to tell him the truth
懵逼,dumbfounded
夸张,exaggerated<div>overstated</div><div>outrageous</div>
务实,pragmatic
古板,old-fashioned (w/ g)<div>inflexible</div>
柱子,pillar (literal)
栋梁,"pillar/backbone (of society, the state, etc.)"
专业摄影师,a professional photographer
批判,"to criticise (serious, holistic level)<div>criticism</div>"
客家人,Hakka (person)
生物学,biology
视力,vision (ability to see)
组装,to assemble (pieces)<div>assembly</div>
小憩,to take a nap
上漆,to paint<div>to stain<br><div>painted</div></div>
倾向于...,to tend to (w/ q)
赞美诗,hymn
自愿,voluntary<div>to volunteer</div>
自主权,autonomy<div>ability to make one's own decisions</div>
不由自主地,involuntarily...
老公,husband (w/ l)
不客⽓,You're welcome
下⾬,to rain
西班⽛语,Spanish (language)
哪⾥,where?
坐下来,to sit down
这道菜,this dish (culinary)
零⾷,snacks
提成,commission (monetary)
胖五磅,to gain five pounds
按时,on-time (not 准时)
按照,according to... (w/ a)
工作量,workload
职责,duties (w/ zh)<div>responsibilities</div>
打扰,to bother<div>to disturb</div>
谢意,one's thanks (n.)
表扬,to praise (w/ b)<div>to commend</div>
严厉,stern<div>severe</div>
吵架,to quarrel
乘坐,to ride (in a vehicle)
吃惊,to be suprised (w/ ch)
打印,to print
戴反,"to wear backwards (hat, glasses, gloves, etc.)"
出售,to offer for sale (not 上市)<div>to put on the market</div>
比利时,Belgium
围巾,scarf
拉链,zipper
还价,to bargain
过少,insufficient
过多,excessive
命令,to order (military sense)<div>order</div>
逛,to stroll<div>to visit</div>
助理,assistant
风格,style
如实地反映。。。,to truthfully reflect (w/ r)
堵车,traffic jam (not 赛车)<div>to get caught in traffic</div>
丢,<div>to lose/leave</div><div>to throw<br></div>
复印,to copy (a document)
代替,to replace (not 代换)
寄,to send (w/ j)
西兰花,broccoli
降低,to lower
禁止,to prohibit<div>to forbid</div>
举办,to hold (an event)
我肯定...,I'm sure that...
流泪,to weep
留学,to study abroad
难受,to make one sick (as in difficult to bear)
弄,to handle<div>to mess with</div><div>to make</div>
排列,to arrange (objects)
顺序,order<div>sequence</div>
字母表,the alphabet
字母表顺序,alphabetical order
从...判断,Judging from...
大佬,big-shots<div>gangstas</div>
成龙,Jackie Chan
起来,to get up<div>to wake up</div>
敲门,to knock
请客,to treat (smby - to lunch or smth)
取,to fetch<br>to take
扔,to throw
商量,to discuss/consult (w/ sh)
剩,left over
收,to collect<div>to receive</div>
收拾,to tidy
计算,to calculate<div>to compute</div>
机器,machine
企图,to attempt<div>attempt</div>
他想当然地以为...,He took it for granted that...
诬陷,to frame<div>to plant false evidence</div>
趁,to take advantage of<div>to avail oneself of</div>
打铁<u>趁</u>热,to strike while the iron is hot (chengyu)
抬,to lift
抬起来,to lift up
谈,to discuss<div>to talk</div>
洗洁精,dishwasher soap
填空,to fill in a blank
笔直,straight as a rod
挺,straight<br>erect
同情,to sympathize with...
处境,"personal&nbsp;<span style=""color: var(--text-fg);"">position/situation</span>"
归,to return (w/ g)
养成,to cultivate into... (literal or figurative)
预习,<div>to study ahead of time</div>to prepare a lesson
自我介绍,a personal introduction
招聘,to invite applications for a job<div>to recruit</div>
噪音,noise
制造,to make
制造噪音,to make noise
形象,image/form (w/ x)
祝贺,to congratulate (not 恭喜)
升职,promotion (not 提升)<div>to get promoted</div>
赚,to earn<div>to make (money)</div>
撞,to hit (accidentally) (w/ zh)<div>to knock against</div>
组成,to constitue (w/ z)<div>to make up</div>
零件,parts<div>individual components</div>
配件,parts/accessories
得意,proud<div>to be proud</div>
对面,opposite (n.)
干燥,dry
高级,advanced (as in top level)<div>top-class</div>
各,each
共同,common/shared
孤单,lonely
贸易,trade
合格,qualified
可怜,pitiful<div>a pity</div>
出轨,to cheat (in a romantic relationship)
冷静,calm (adj/noun)
厉害,formidible<div>making a very strong impression</div><div>outstanding/amazing/devastating/terrible/...</div>
亮,"bright, clear<br>resonant<br>to shine, to show"
眯,to squint
乱,messy
马虎,careless (w/ m)
满,full
停,to stop
湿润,moist (not 潮湿)
帅,handsome
闻起来。。。,it smells (adj.)
路标,road sign
盖子,cover
有盖子,covered
跑车,sports car
扑克,poker
轮流,to take turns
稀有,rare
预想,to anticipate<div>to expect</div>
简历,resume'
好起来,to get better
硬,hard
写作,(the act of) writting
复婚,to remarry
碰,to touch<div>to meet with/bump</div>
窄,narrow
抛弃,to abandon (w/ p)<div>to renounce</div><div>to dump (smbdy)</div>
健忘,forgetful<div>to be forgetful</div>
主动,initiative
仔细,careful (as in paying attention to details)<div>to be careful</div>
省事,to simplify matters<div>to save trouble</div>
与。。。是一致的,is in line with ...
本科,undergraduate
社团,society<div>club</div>
前一段时间。。。,some time ago...
保时捷,Porsche
难怪。。。,no wonder...
筵席,banquet
膏,to annoint<div>to moisten</div>
膏,paste<div>ointment</div>
牧者,shepherd
忍受,to tolerate<div>to bear</div>
当,when
觉得无聊,to be bored
到底,What on Earth...?<div>after all...</div><div>when all is said and done...</div>
否则,otherwise (w/ f)
刚刚,just now
果然,as expected...<div>sure enough...</div>
后来,later
大夫,doctor (w/ d)
忽然,suddenly (only adv. - not adj.)
突然的消息,sudden news
忽然（突然）停电了,the electricity suddenly went out
有害,harmful
极其,extremely (w/ j)
及时,... in time<div>promptly...</div>
竟然,unexpectedly (w/ j)
他来不及帮忙。,He was too late to help.
礼品,gift
其次,secondly... (w/ q)
员工,employees
千万,by no means...<div>for goodness sake...</div>
前兆,warning signs
愁闷,gloomy (not 郁闷)<div>spirits low</div>
实在,truly<div>really</div>
顺便,in passing...
恶劣,nasty (w/ e)<div>awful</div>
恶劣天气,bad weather
延误,delay<div>to delay</div><div>to be delayed</div>
只要。。。,so long as...<div>as long as...</div>
积累,to accumulate<div>accumulation</div><div>cumulative</div><div>cumulatively</div>
送到,to be delivered succesfully (结果补语)
车程,travel time (by car)
气垫,air matress
硬度,hardness<div>firmness</div>
挑剔,picky/fussy
领带,necktie
郊区,the suburbs
煤,coal
虫子,bug<div>insect</div>
蒸汽,steam
桌游,board game
世界末日,the end of the world
滑冰,to ice skate
滑冰场,ice skating rink
英里,mile
要求很高,demanding
不实际,impractical
报导,news report
倍,times (multiplier)
货,"goods, commodity<br>money"
表格,form (for filling out)<div>table</div>
波士顿,Boston
或缺,"to lack, to do without (w/ h)"
出生,to be born
传真,fax
大使馆,Embassy
诉讼,to sue somebody<div>litigation</div>
案件,"case, instance"
习俗,customs (w/ x)
锋利,sharp (of a blade)<div>incisive</div>
迷路,to get lost (directions)<div>to be lost</div>
防止,to avoid (smth) (w/ f)<div>to prevent</div>
底,bottom
海底,the bottom of the ocean
旋转,to rotate<div>to revolve</div>
地址,address
立即,immediately (w/ l - not 立刻)
请求,"to request, to ask<div>request</div>"
优美,graceful (not 优雅)<div>elegant</div>
芭蕾舞者,ballerina
三至五,three to five...
迷失,to lose (one's bearings)<div>to get lost</div>
出路,a way out<div>a way forward</div>
访问,"visit (w/ f, extremely formal - like a state visit)"
个子,height (w/ g)<div>stature</div><div>build</div>
薪水,salary<div>income</div>
预支,an advance (in payment)<div>to pay in advance</div>
总共,altogether... (w/ z)<div>in total...</div>
向。。。鼓掌,to applaud (smbdy)
太阳光,sunlight
广播信号,broadcast signal
遵守规定,to obey the rules
丰富,to enrich<div>rich</div><div>plentiful</div>
太平洋,the Pacific Ocean
记不住,can't remember (RC)
猴子,monkey
有外遇,to have an affair
牢固,"firm, secure (w/ l)"
打下基础,to lay a foundation
原先,at first (w/ y - not 原初)<div>originally</div>
教书,to teach (in school)
改行,to change profession
糟透,"terrible, dreadful, horrible (not 糟糕)"
尽早,as early as possible
起色,"<div><span style=""color: var(--text-fg);"">improvement (w/ q)</span><br></div><div>to improve</div><div>to pick up</div>"
京剧,Peking opera
喜爱,to like (not 喜欢)<div>to be fond of</div>
胃口,appetite (w/ w)
酒驾,drunk driving
抓走,to arrest
荒唐,"absurd<div>ridiculous (not&nbsp;<span style=""color: var(--text-fg);"">可笑)</span></div><div>preposterous</div>"
理发,haircut
去理发,to get a haircut
密码,password
相配,"to match (style, color, etc. - w/ x)<div>to suit</div><div>well-suited</div>"
同年,childhood
农村,countryside
失控,to lose control<div>to go out of control</div>
品质,"qualities (moral, IQ, EQ - not 素质)<div>intrinsic quality</div>"
生活品质,quality of life
倒塌,to collapse (of a building)
人民币,Renminbi (RMB)
惭愧,ashamed (w/ c)
迷失方向,to lose one's direction
生命,life
冒,to brave<div>to face</div><div>reckless</div>
溺水,to drown
吼声,roar
实际,reality (w/ sh)
空想,to daydream
饿肚子,"to go hungry, to starve"
我宁可。。。,I'd rather...
零钱,change<div>pocket money</div>
售货员,shop assistant
牺牲,to sacrifice
按。。。排列,to arrange according to...
放慢速度,to slow down
孙女,"son's daughter, granddaughter"
懒散,indifferent<div>careless</div><div>negligent</div>
趟,measure word for times/trips (w/ t)
袜子,socks
往,past
往事,past events
乐于,willing to (more lit: to take pleasure in)
富含,to be rich in... (not 富有)
我逐渐喜欢上了现代音乐。,I'm gradually getting to like modern music.
